official_keyword,paper_count,share_of_all_papers
"Video Generation, Avatars & Dynamic Worlds",247,0.0871559633027523
"Video Understanding, Generation and Multimodal Learning",237,0.08362738179251941
"3D Reconstruction, Gaussian Splatting & Neural Rendering",226,0.07974594213126324
"Image Generation, Editing & Diffusion",203,0.0716302046577276
"Embodied AI, Robotics & Autonomous Driving",195,0.06880733944954129
"Multimodal, Video & Document Understanding",177,0.06245589273112209
"Open-World Recognition, Segmentation & Transfer",176,0.062103034580098804
Vision-Language Models & Foundation Models,167,0.058927311220889206
"Recognition, Tracking, Re-ID & Anomaly Detection",160,0.056457304163726185
"Low-Level Vision, Restoration & Generative Priors",157,0.05539872971065632
"Computational Imaging, Medical & Scientific Vision",153,0.053987297106563165
"Geometry, Localization, Matching & Motion",142,0.05010585744530699
"Federated, Continual & Efficient Learning; Model Security",138,0.048694424841213835
3D Graphics and Geometric Representations,114,0.04022582921665491
"3D Reconstruction, Registration and Scene Modeling",100,0.035285815102328866
"Robustness, Privacy, Learning & Theory",88,0.031051517290049402
Vision Foundation Models: Interpretability and Reasoning,87,0.030698659139026113
"Computational Imaging, Shape Recovery and Camera Geometry",84,0.029640084685956247
